[2020-08-14.106 09:09:06] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.116 09:09:06] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.850 09:17:04] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.851 09:17:04] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.095 09:20:24] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.096 09:20:24] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.805 09:35:04] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.806 09:35:04] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.629 09:55:21] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.630 09:55:21] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.840 10:01:21] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.841 10:01:21] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.277 10:02:55] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.278 10:02:55] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.844 10:06:00] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.845 10:06:00] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.074 10:47:59] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.075 10:47:59] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.479 10:49:22] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.480 10:49:22] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.447 10:58:26] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.448 10:58:26] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.449 10:59:52] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.449 10:59:52] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.454 11:06:51] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.454 11:06:51] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.990 11:26:43] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.991 11:26:43] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.627 11:30:12] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.628 11:30:12] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.939 11:31:05] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.939 11:31:05] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
[2020-08-14.203 11:32:54] [Lua] [info] "[System]" Money.Gold = 0, reason is "init"	
[2020-08-14.204 11:32:54] [Lua] [info] "[System]" Money.Silver = 0, reason is "init"	
